lemma	wordform	tags	checked
aśi	aśeλ	N;PSS3S;NOM;SG	TRUE
aśi	aśeλən	N;PSS3S;LOC;SG	TRUE
aśi	aśɛm	N;PSS1S;NOM;SG	TRUE
aśi	aśɛm	N;PSS1S;NOM;SG	TRUE
aśi	aśɛmən	N;PSS1D;NOM;SG	TRUE
aśi	aśɛmən	N;PSS1D;NOM;SG	TRUE
aśi	ăśɛŋəλ	N;PSS3S;NOM;SG	TRUE
aśi	aśi	N;NOM;SG	TRUE
aśi	aśijən	N;LOC;SG	TRUE
aśi	aśiλaλ	N;PL;PSS3P;NOM	TRUE
ăškola	ăškola	N;NOM;SG	TRUE
ăškola	ăškolaja	N;DAT;SG	TRUE
ăškola	ăškolajən	N;LOC;SG	TRUE
ăškola	ăškolajət	N;PL;NOM	TRUE
ăškola	ăškolajn	N;LOC;SG	TRUE
as	asn	N;LOC;SG	TRUE
asλi	asλi	ADJ	TRUE
at	at	N;NOM;SG	TRUE
at	at	PART	TRUE
at	ata	N;DAT;SG	TRUE
ateλt	ateλt	ADJ	TRUE
ateλt	ateλt	ADV	TRUE
ateλta	ateλta	ADV	TRUE
ateλt	ateλtšək	ADV;COMP	TRUE
atəm	atəm	ADJ	TRUE
at	atən	N;LOC;SG	TRUE
at	atət	N;PL;NOM	TRUE
at	atətən	N;PL;LOC	TRUE
at	atəλ	N;PSS3S;NOM;SG	TRUE
at	atɛm	N;PSS1S;NOM;SG	TRUE
atkʉtəp	atkʉtəp	N;NOM;SG	TRUE
atma	atma	ADV	TRUE
at	atλa	N;PSS3S;DAT;SG	TRUE
at	atλaλ	N;PSS3S;NOM;PL	TRUE
at	atλaλən	N;PL;PSS3S;LOC	TRUE
atλən	atλən	ADV	TRUE
atλən	atλən	ADV	TRUE
aw	awəλ	N;PSS3S;NOM;SG	TRUE
aλ	aλ	ADV	TRUE
aλ	aλ	INTJ	TRUE
aλ	aλ	PART	TRUE
ăλ	ăλ	ADJ	TRUE
ăλ	ăλ	ADV	TRUE
aλˊti	aλˊe	V;IMP;ARGNOS;ARGACS;ARGNO2	TRUE
aλˊti	aλˊəm	V.PTCP;PST	TRUE
aλˊti	aλˊəs	V;PST;ARGNO3;ARGNOS	TRUE
aλˊti	aλˊmaλ	V;PST;INFER;ARGNO3;ARGNOS	TRUE
aλˊti	aλˊsa	V;PST;PASS;ARGNO3;ARGNOS	TRUE
aλˊti	aλˊsət	V;PST;ARGNO3;ARGNOP	TRUE
aλˊti	aλˊsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
aλˊti	aλˊλən	V;PRS;ARGNO2;ARGNOS	TRUE
ăλti	ăλəm	V.PTCP;PST	TRUE
aλəmti	aλəməs	V;PST;ARGNO3;ARGNOS	TRUE
aλəmti	aλəməsλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
aλəmti	aλəməλ	V;PRS;ARGNO3;ARGNOS	TRUE
ăλəmti	ăλəmman	V.CVB	TRUE
aλəmti	aλəmsət	V;PST;ARGNO3;ARGNOP	TRUE
ăλəmti	ăλəmsət	V;PST;ARGNO3;ARGNOP	TRUE
aλəmti	aλəmsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
aλəmti	aλəmti	V.PTCP;PRS	TRUE
aλəmti	aλəmλa	V;PRS;PASS;ARGNO3;ARGNOS	TRUE
aλəmti	aλəmλen	V;PRS;ARGNO2;ARGNOS;ARGACS	TRUE
ăλ	ăλən	N;LOC;SG	TRUE
aλəŋ	aλəŋ	ADV	TRUE
aλəŋ	aλəŋ	N;NOM;SG	TRUE
aλəŋ	aλəŋa	N;DAT;SG	TRUE
aλəŋaja	aλəŋaja	ADV	TRUE
aλəŋ	aλəŋən	N;LOC;SG	TRUE
aλti	aλəs	V;PST;ARGNO3;ARGNOS	TRUE
ăλti	ăλəλət	V;PRS;ARGNO3;ARGNOP	TRUE
aλɛməti	aλɛməs	V;PST;ARGNO3;ARGNOS	TRUE
aλɛməti	aλɛməsət	V;PST;ARGNO3;ARGNOP	TRUE
aλɛməti	aλɛməsi	V;PST;PASS;ARGNO3;ARGNOS	TRUE
aλɛməti	aλɛməsŋən	V;PST;ARGNO3;ARGNOD	TRUE
aλti	aλɛməsλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
aλɛməti	aλɛmti	V.PTCP;PRS	TRUE
ăλti	ăλman	V.CVB	TRUE
ăλti	ăλmaλ	V;PST;INFER;ARGNO3;ARGNOS	TRUE
aλəmti	aλme	V;IMP;ARGNOS;ARGACS;ARGNO2	TRUE
ăλəmti	ăλme	V;IMP;ARGNO2;ARGNOS;ARGACS	TRUE
aλəmti	aλməs	V;PST;ARGNO3;ARGNOS	TRUE
aλmijəλti	aλmijəλλa	V;PRS;PASS;ARGNO3;ARGNOS	TRUE
ăλmɵntiki	ăλmɵntiki	CONJ	TRUE
ăλnɵmλa	ăλnɵmλa	ADV	TRUE
aλpa	aλpa	ADV	TRUE
ăλti	ăλsew	V;PST;ARGNO1;ARGNOP;ARGACS	TRUE
ăλti	ăλseλ	V;PST;ARGNO3;ARGNOP;ARGACS	TRUE
ăλti	ăλsəm	V;PST;ARGNO1;ARGNOS	TRUE
ăλsəŋ	ăλsəŋ	ADJ	TRUE
aλśəti	aλśəsi	V;PST;PASS;ARGNO3;ARGNOS	TRUE
aλśəti	aλśəsijət	V;PST;PASS;ARGNO3;ARGNOP	TRUE
ăλti	ăλsət	V;PST;ARGNO3;ARGNOP	TRUE
aλśəti	aλśəti	V.PTCP;PRS	TRUE
ăλti	ăλsəw	V;PST;ARGNO1;ARGNOP	TRUE
aλśi	aλśəλaλ	V;PRS;ARGNO3;ARGNOP;ARGAC{D/P}	TRUE
aλśəti	aλśəλeλ	V;PRS;ARGNO3;ARGNOP;ARGACS	TRUE
aλśəti	aλśəλi	V;PRS;PASS;ARGNO3;ARGNOS	TRUE
aλti	aλsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
aλt	aλt	PART	TRUE
aλti	aλti	V.PTCP;PRS	TRUE
ăλti	ăλti	V.PTCP;PRS	TRUE
aλtijəλti	aλtijəλsajət	V;PST;PASS;ARGNO3;ARGNOP	TRUE
aλtijəλti	aλtijəλti	V.PTCP;PRS	TRUE
aλλˊəti	aλλˊa	V;IMP;ARGNO2;ARGNOS	TRUE
aλλˊəti	aλλˊəsət	V;PST;ARGNO3;ARGNOP	TRUE
aλλˊəti	aλλˊəti	V.PTCP;PRS	TRUE
aλλˊijəλti	aλλˊijəλ	V;PRS;ARGNO3;ARGNOS	TRUE
ăλti	ăλλen	V;PRS;ARGNO2;ARGNOS;ARGACS	TRUE
ăλti	ăλλən	V;PRS;ARGNO2;ARGNOS	TRUE
ăλti	ăλλɛmən	V;PRS;ARGNO1;ARGNOD;ARGACS	TRUE
bandit	banditəŋən	N;DU;NOM	TRUE
bandit	banditət	N;PL;NOM	TRUE
bandit	banditŋəλan	N;DU;PSS2S;NOM	TRUE
bandit	banditλan	N;PL;PSS2S;NOM	TRUE
bandit	banditλaλən	N;PL;PSS3S;LOC	TRUE
ewi	ewen	N;PSS2S;NOM;SG	TRUE
ewi	ewet	N;PL;NOM	TRUE
ewi	eweλ	N;PSS3S;NOM;SG	TRUE
ewətti	ewətsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
ewətti	ewətti	V.PTCP;PRS	TRUE
ewətti	ewətλ	V;PRS;ARGNO3;ARGNOS	TRUE
ewətti	ewətλa	V;PRS;PASS;ARGNO3;ARGNOS	TRUE
ewətti	ewətλajət	V;PRS;PASS;ARGNO3;ARGNOP	TRUE
ewətti	ewətλəλən	V;PRS;ARGNO2;ARGNOP;ARGACS	TRUE
ewətti	ewətλλe	V;PRS;ARGNO3;ARGNOS;ARGAC	TRUE
ewəλt	ewəλt	ADP	TRUE
ewəλt	ewəλta	ADP	TRUE
ewəλt	ewəλteλa	ADP;PSS3S;DAT	TRUE
ewəλt	ewəλtɛma	ADP;PSS1S;DAT	TRUE
ewəλti	ewəλti	V.PTCP;PRS	TRUE
ewəλti	ewəλλen	V;PRS;ARGNO2;ARGNOS;ARGACS	TRUE
ewəλti	ewəλλət	V;PRS;ARGNO3;ARGNOP	TRUE
ewi	ewɛm	N;PSS1S;NOM;SG	TRUE
ewi	ewɛŋən	N;DU;NOM	TRUE
ewi	ewi	N;NOM;SG	TRUE
ewije	ewije	N;NOM;SG	TRUE
ewije	ewijeŋən	N;DU;NOM	TRUE
ewije	ewijeλ	N;PSS3S;NOM;SG	TRUE
ewije	ewijɛm	N;PSS1S;NOM;SG	TRUE
ewileŋki	ewileŋkeŋən	N;DU;NOM	TRUE
ewileŋki	ewileŋkeŋənən	N;DU;LOC	TRUE
ewi	ewiλaλ	N;PL;PSS3S;NOM	TRUE
ewi	ewiλaλa	N;PL;PSS3S;DAT	TRUE
ewətti	ewte	V;IMP;ARGNOS;ARGACS;ARGNO2	TRUE
ewətti	ewtəm	V.PTCP;PST	TRUE
ewətti	ewtəs	V;PST;ARGNO3;ARGNOS	TRUE
ɛnəmti	ɛnəməλ	V;PRS;ARGNO3;ARGNOS	TRUE
ɛnəmti	ɛnəmsa	V;PST;PASS;ARGNO3;ARGNOS	TRUE
ɛnəmti	ɛnəmsəm	V;PST;ARGNO1;ARGNOS	TRUE
ɛnəmti	ɛnəmsəw	V;PST;ARGNO1;ARGNOP	TRUE
ɛnəmti	ɛnəmti	V.PTCP;PRS	TRUE
ɛnəmti	ɛnəmλət	V;PRS;ARGNO3;ARGNOP	TRUE
ɛnəmti	ɛnməm	V.PTCP;PST	TRUE
ɛnəmti	ɛnməs	V;PST;ARGNO3;ARGNOS	TRUE
ɛnəmti	ɛnməλ	V;PRS;ARGNO3;ARGNOS	TRUE
ɛnməλtəti	ɛnməλtəs	V;PST;ARGNO3;ARGNOS	TRUE
ɛnməλtəti	ɛnməλtəsəm	V;PST;ARGNO1;ARGNOS	TRUE
ɛnməλtəti	ɛnməλtəλ	V;PRS;ARGNO3;ARGNOS	TRUE
ɛnməλti	ɛnməλti	V.PTCP;PRS	TRUE
ɛŋəλti	ɛŋəλman	V.CVB	TRUE
ɛŋχti	ɛŋsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
ɛŋχəmtti	ɛŋχəmsa	V;PST;PASS;ARGNO3;ARGNOS	TRUE
ɛŋχəmtti	ɛŋχəmsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
ɛŋχəmtti	ɛŋχəmtsajət	V;PST;PASS;ARGNO3;ARGNOP	TRUE
ɛŋχəsti	ɛŋχəsλa	V;PRS;PASS;ARGNO3;ARGNOS	TRUE
ɛŋχɛmijəλti	ɛŋχɛmijəλλəλλe	V;PRS;ARGNO3;ARGNOS;ARGAC	TRUE
ɛŋχti	ɛŋχti	V.PTCP;PRS	TRUE
ɛpəλ	ɛpəλ	N;NOM;SG	TRUE
ɛpəλ	ɛpəλən	N;LOC;SG	TRUE
ɛpλəŋ	ɛpəλəŋ	ADJ	TRUE
ɛptəmtti	ɛptəmtəs	V;PST;ARGNO3;ARGNOS	TRUE
ɛpλəŋ	ɛpλəŋ	ADJ	TRUE
ɛsəmjiŋk	ɛsəmjiŋk	N;NOM;SG	TRUE
ɛsəλti	ɛsəλəsəm	V;PST;ARGNO1;ARGNOS	TRUE
ɛsəλti	ɛsəλəλaλ	V;PRS;ARGNO3;ARGNOP;ARGAC{D/P}	TRUE
ɛsəλijəλti	ɛsəλijəλsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
ɛsəλijəλti	ɛsəλijəλλət	V;PRS;ARGNO3;ARGNOP	TRUE
ɛsəλti	ɛsəλman	V.CVB	TRUE
ɛsəλti	ɛsəλmaλ	V;PST;INFER;ARGNO3;ARGNOS	TRUE
ɛsəλti	ɛsəλsa	V;PST;PASS;ARGNO3;ARGNOS	TRUE
ɛsəλti	ɛsəλsəλam	V;PST;ARGNO1;ARGNOS;ARGAC{D/P}	TRUE
ɛsəλti	ɛsəλsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
ɛsəλti	ɛsəλsɛm	V;PST;ARGNO1;ARGNOS;ARGACS	TRUE
ɛsəλti	ɛsəλti	V.PTCP;PRS	TRUE
ɛsəλti	ɛsəλλa	V;PRS;PASS;ARGNO3;ARGNOS	TRUE
ɛsəλti	ɛsəλλajən	V;PRS;PASS;ARGNO2;ARGNOS	TRUE
ɛsəλti	ɛsəλλajət	V;PRS;PASS;ARGNO3;ARGNOP	TRUE
ɛsəλti	ɛsəλλajɛmən	V;PRS;PASS;ARGNO1;ARGNOD;ARGACS	TRUE
ɛsəλti	ɛsəλλen	V;PRS;ARGNO2;ARGNOS;ARGACS	TRUE
ɛsəλti	ɛsəλλəλλe	V;PRS;ARGNO3;ARGNOS;ARGAC	TRUE
ɛsəλti	ɛsəλλɛm	V;PRS;ARGNO1;ARGNOS;ARGACS	TRUE
ɛsəλti	ɛsλaλən	V;IMP;ARGNO{D/P};ARGNO2;ARGAC{D/P}	TRUE
ɛsəλti	ɛsλe	V;IMP;ARGNOS;ARGACS;ARGNO2	TRUE
ɛsəλti	ɛsλəm	V.PTCP;PST	TRUE
ɛsλəmtti	ɛsλəmsəλλe	V;PST;ARGNO3;ARGNOS;ARGAC	TRUE
ɛsλəmtti	ɛsλəmsəλλən	V;PST;ARGNO{2/3};ARGNOD;ARGAC{D/P}	TRUE
ɛsλəmtti	ɛsλəmteλn	V;PRS;ARGNO3;ARGNOP;TAXIS	TRUE
ɛsλəmtti	ɛsλəmtəs	V;PST;ARGNO3;ARGNOS	TRUE
ɛsλəmtijəλti	ɛsλəmtijəλman	V.CVB	TRUE
ɛsλəmtti	ɛsλəmtti	V.PTCP;PRS	TRUE
ɛsλəmtti	ɛsλəmλɛm	V;PRS;ARGNO1;ARGNOS;ARGACS	TRUE
ɛsəλti	ɛsλən	V;PRS;ARGNO2;ARGNOS	TRUE
ɛsəλti	ɛsλəs	V;PST;ARGNO3;ARGNOS	TRUE
ɛsλəsti	ɛsλəsəs	V;PST;ARGNO3;ARGNOS	TRUE
ɛsəλijəλti	ɛsλijəλsəλaλ	V;PST;ARGNO3;ARGNOP;ARGAC{D/P}	TRUE
ɛtti	ɛte	V;IMP;ARGNOS;ARGACS;ARGNO2	TRUE
ɛtti	ɛtəm	V.PTCP;PST	TRUE
ɛtər	ɛtər	ADJ	TRUE
ɛtər	ɛtərŋən	N;DU;NOM	TRUE
ɛtti	ɛtəs	V;PST;ARGNO3;ARGNOS	TRUE
ɛtti	ɛtəλ	V;PRS;ARGNO3;ARGNOS	TRUE
ɛtijəλti	ɛtijəλ	V;PRS;ARGNO3;ARGNOS	TRUE
ɛtti	ɛtmaλ	V;PST;INFER;ARGNO3;ARGNOS	TRUE
ɛtməti	ɛtməm	V.PTCP;PST	TRUE
ɛtməti	ɛtməmaλ	V;PST;INFER;ARGNO3;ARGNOS	TRUE
ɛtməti	ɛtməs	V;PST;ARGNO3;ARGNOS	TRUE
ɛtməti	ɛtməsəm	V;PST;ARGNO1;ARGNOS	TRUE
ɛtməti	ɛtməsəw	V;PST;ARGNO1;ARGNOP	TRUE
ɛtti	ɛts	V;PST;ARGNO3;ARGNOS	TRUE
ɛtti	ɛtsa	V;PST;PASS;ARGNO3;ARGNOS	TRUE
ɛtti	ɛtsəm	V;PST;ARGNO1;ARGNOS	TRUE
ɛtti	ɛtsət	V;PST;ARGNO3;ARGNOP	TRUE
ɛtti	ɛtsəw	V;PST;ARGNO1;ARGNOP	TRUE
